B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.0808,0.1018,0.1134,0.1275,0.1693,0.1865,0.204,0.2001,0.2199,0.28544423,1,0.3469836191554902,0.037508846426043935
0.058,0.0746,0.0805,0.122,0.1724,0.1874,0.1928,0.2219,0.2302,0.41090378,1,0.3317754801649268,0.08841607565011818
0.0418,0.06,0.0615,0.0915,0.169,0.1835,0.184,0.2241,0.1832,0.49898165,1,0.3273650625224925,-0.002178649237472754
0.05395,0.07585,0.0771,0.1185,0.2058,0.2248,0.2324,0.24625,0.22315,0.50177705,1,0.3001688936565481,-0.020305125672264314
0.048,0.0714,0.0656,0.1136,0.2032,0.2276,0.248,0.2491,0.1975,0.5816327,1,0.2727719428481925,-0.11335578002244666
0.047,0.071,0.0698,0.108,0.1828,0.2017,0.2214,0.2298,0.2104,0.5206044,1,0.2165861707829729,-0.025474756831866625
0.0415,0.0571,0.0564,0.0865,0.1646,0.1858,0.2088,0.2081,0.1777,0.57466066,1,0.2146362917735594,-0.08046571798188878
0.0467,0.0676,0.0672,0.102,0.1737,0.193,0.202,0.2106,0.1924,0.500743,1,0.2013677476649475,-0.024340770791075116
0.0428,0.0602,0.0626,0.0982,0.1701,0.1884,0.2054,0.2242,0.1982,0.53283584,1,0.1914463312675066,-0.01783944499504463
0.04535,0.06515,0.06345,0.10165,0.1965,0.2046,0.213,0.24015,0.1951,0.5409658,1,0.1772744093407346,-0.043861798578779705
